ds,cpu_forecast_mean,cpu_forecast_min,cpu_forecast_max,cpu_lower,cpu_upper
2026-09-11,12.64112,9.08451,32.475132,9.556796,22.999504
2026-09-12,11.876709,6.133944,18.08147,7.688317,17.052792
2026-09-13,11.792169,4.5033994,17.109276,5.3232265,16.906189
2026-09-14,11.677264,3.355879,17.94513,3.745038,17.54275
2026-09-15,11.439274,2.7530308,18.339798,3.102502,18.080683
2026-09-16,11.095226,2.3421001,18.472155,2.4576998,18.333475
2026-09-17,11.027425,2.1939404,18.835072,2.3260574,18.749262
2026-09-18,10.892342,1.8514757,19.44783,2.0803945,19.033285
2026-09-19,10.835729,1.5772423,20.013105,1.755844,19.810335
2026-09-20,10.646047,1.4689009,19.94922,1.5720129,19.707016
2026-09-21,10.720994,1.6026778,19.663826,1.6799351,19.474325
2026-09-22,10.597043,1.4726197,19.524645,1.560614,19.268568
2026-09-23,10.50199,1.5509893,20.200842,1.6377846,19.930174
2026-09-24,10.340182,0.90503055,20.049894,1.1856215,19.691105
2026-09-25,10.213112,0.9128586,19.77489,0.98072696,19.663141
2026-09-26,10.073893,0.79732573,20.02745,0.89276797,19.84879
2026-09-27,9.894889,0.6394113,20.118427,0.78631204,19.984043
2026-09-28,9.562985,0.71132827,19.979965,0.89917415,19.688515
2026-09-29,9.630023,0.95543367,19.81828,1.1010283,19.67373
2026-09-30,9.528119,0.91180253,19.846802,1.0414476,19.63257
2026-10-01,9.51645,0.9108077,19.961563,1.0056139,19.76689
2026-10-02,9.349302,0.91583955,19.894798,1.1192201,19.730766
2026-10-03,9.693829,1.1708544,20.348034,1.3618449,20.218727
2026-10-04,9.412129,1.2497492,20.903196,1.3564354,20.589514
2026-10-05,9.443957,1.300087,21.79871,1.402347,21.222948
2026-10-06,9.402854,1.1059129,21.115173,1.2897669,20.79232
2026-10-07,9.277764,1.0897075,20.56726,1.2720815,20.294724
2026-10-08,8.91317,1.1616998,19.849207,1.3017155,19.626345
2026-10-09,8.544997,1.0292656,19.589748,1.1949444,19.314407
2026-10-10,8.168113,1.0238792,19.20456,1.1454521,18.977264
2026-10-11,8.043273,1.121738,18.94597,1.2160959,18.830381
