ds,cpu_forecast_mean,cpu_lower,cpu_upper,cpu_forecast_min,cpu_forecast_max
2026-09-11 13:00:00,15.247828,9.495541,32.475132,9.495541,32.475132
2026-09-11 14:00:00,13.38393,9.598963,28.060818,9.598963,28.060818
2026-09-11 15:00:00,12.674957,9.919638,25.776371,9.919638,25.776371
2026-09-11 16:00:00,12.469532,9.842911,24.595688,9.842911,24.595688
2026-09-11 17:00:00,12.320253,9.770855,23.21835,9.770855,23.21835
2026-09-11 18:00:00,12.280115,9.754763,22.069845,9.754763,22.069845
2026-09-11 19:00:00,12.164504,9.520647,20.790413,9.520647,20.790413
2026-09-11 20:00:00,12.192888,9.48386,19.875832,9.48386,19.875832
2026-09-11 21:00:00,12.136673,9.33489,19.19773,9.33489,19.19773
2026-09-11 22:00:00,12.165108,9.318176,18.729408,9.318176,18.729408
2026-09-11 23:00:00,12.016541,9.08451,18.20496,9.08451,18.20496
2026-09-12 00:00:00,12.076324,9.066198,18.08147,9.066198,18.08147
2026-09-12 01:00:00,12.012827,8.891826,17.97987,8.891826,17.97987
2026-09-12 02:00:00,12.050428,8.889896,17.871376,8.889896,17.871376
2026-09-12 03:00:00,11.942066,8.738461,17.621067,8.738461,17.621067
2026-09-12 04:00:00,11.960888,8.6793165,17.448961,8.6793165,17.448961
2026-09-12 05:00:00,11.8481045,8.459474,17.09542,8.459474,17.09542
2026-09-12 06:00:00,11.869936,8.440536,17.011814,8.440536,17.011814
2026-09-12 07:00:00,11.768471,8.262497,16.859375,8.262497,16.859375
2026-09-12 08:00:00,11.819995,8.173424,16.777515,8.173424,16.777515
2026-09-12 09:00:00,11.778463,8.041981,16.742582,8.041981,16.742582
2026-09-12 10:00:00,11.833233,8.017041,16.845558,8.017041,16.845558
2026-09-12 11:00:00,11.770264,7.8865433,16.803461,7.8865433,16.803461
2026-09-12 12:00:00,11.877462,7.861312,16.895174,7.861312,16.895174
2026-09-12 13:00:00,11.827561,7.647941,16.89457,7.647941,16.89457
2026-09-12 14:00:00,11.924379,7.5698466,16.959969,7.5698466,16.959969
2026-09-12 15:00:00,11.870678,7.3105836,16.870728,7.3105836,16.870728
2026-09-12 16:00:00,11.9334,7.1938972,16.889973,7.1938972,16.889973
2026-09-12 17:00:00,11.837785,6.969192,16.832504,6.969192,16.832504
2026-09-12 18:00:00,11.856966,6.7720323,16.855217,6.7720323,16.855217
2026-09-12 19:00:00,11.782257,6.511897,16.778767,6.511897,16.778767
2026-09-12 20:00:00,11.8671055,6.4365892,16.820284,6.4365892,16.820284
2026-09-12 21:00:00,11.824896,6.3154087,16.738777,6.3154087,16.738777
2026-09-12 22:00:00,11.892936,6.249776,16.830952,6.249776,16.830952
2026-09-12 23:00:00,11.814586,6.133944,16.761616,6.133944,16.761616
2026-09-13 00:00:00,11.900749,6.1833253,16.93229,6.1833253,16.93229
2026-09-13 01:00:00,11.873272,6.1551213,16.847588,6.1551213,16.847588
2026-09-13 02:00:00,11.907115,6.140579,16.869287,6.140579,16.869287
2026-09-13 03:00:00,11.792157,6.043398,16.741402,6.043398,16.741402
2026-09-13 04:00:00,11.87212,6.0873756,16.805838,6.0873756,16.805838
2026-09-13 05:00:00,11.833804,5.931279,16.760124,5.931279,16.760124
2026-09-13 06:00:00,11.864188,5.893107,16.806166,5.893107,16.806166
2026-09-13 07:00:00,11.766553,5.6211195,16.691494,5.6211195,16.691494
2026-09-13 08:00:00,11.808351,5.4953513,16.775412,5.4953513,16.775412
2026-09-13 09:00:00,11.769095,5.3291945,16.742496,5.3291945,16.742496
2026-09-13 10:00:00,11.795622,5.24861,16.821354,5.24861,16.821354
2026-09-13 11:00:00,11.73373,5.0866747,16.787397,5.0866747,16.787397
2026-09-13 12:00:00,11.762165,5.0684443,16.88347,5.0684443,16.88347
2026-09-13 13:00:00,11.713503,4.987131,16.901964,4.987131,16.901964
2026-09-13 14:00:00,11.739367,5.048972,16.96157,5.048972,16.96157
